Date;Open;Low;High;Close;Volume
20180425;1.142779;1.142622;1.145751;1.14562;120574.0097880885
20180426;1.14562;1.142805;1.152007;1.150483;130260.61979199946
20180427;1.15047;1.135886;1.151808;1.136389;128001.99978522955
20180430;1.136286;1.132926;1.140901;1.139874;117834.36978119613
20180501;1.139887;1.133504;1.141461;1.135628;120547.93971094488
20180502;1.135615;1.132439;1.138641;1.136067;151995.6497382149
20180503;1.136054;1.131222;1.136609;1.132464;155294.6496995613
20180504;1.132477;1.130787;1.134366;1.131375;127284.07964456824
20180507;1.132285;1.131171;1.13916;1.137372;120601.59965898095
20180508;1.137385;1.135138;1.142413;1.141878;154902.6794771403
20180509;1.141878;1.140667;1.145803;1.143354;143894.6396151334
20180510;1.143354;1.131683;1.145633;1.134816;185114.8298144266
20180511;1.134816;1.133016;1.137851;1.134443;134047.91974084824
20180514;1.134353;1.132888;1.136725;1.136725;118515.7697073668
20180515;1.136725;1.134121;1.141253;1.141097;149515.83963070065
20180516;1.141188;1.138628;1.145252;1.142779;159812.45955308527
20180517;1.142805;1.142283;1.147776;1.146289;147590.74972443286
20180518;1.146303;1.142426;1.146316;1.1444;118657.59973832221
20180521;1.14423;1.138421;1.146079;1.139043;125026.24962994455
20180522;1.139225;1.137825;1.141826;1.140576;134552.12955622375
20180523;1.140576;1.13679;1.144309;1.141461;166660.41947158426
20180524;1.141448;1.139277;1.144466;1.142087;169862.40959397706
20180525;1.142152;1.138926;1.143968;1.141735;156363.11968111247
20180528;1.139666;1.137036;1.146145;1.145213;132324.85991725326
20180529;1.145318;1.143968;1.149782;1.148514;178539.6995626837
20180530;1.149148;1.138511;1.149729;1.139731;182848.09964137524
20180531;1.139627;1.136467;1.1421;1.137385;164338.42967999727
20180601;1.137385;1.135177;1.145961;1.14537;154437.94961047173
20180604;1.144505;1.137993;1.145777;1.138136;138453.22954214364
20180605;1.1382;1.137928;1.146355;1.143262;151448.43963747472
